,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,United Nations,,,,,,,,,,,,,,,,,,,,
,,,,Population Division,,,,,,,,,,,,,,,,,,,,
,,,,Department of Economic and Social Affairs,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Workbook: UN_MigrantStock_2017.xls,,,,,,,,,,,,,,,,,,,,
,,,,"Table 2 -  Total population at mid-year by sex and by major area, region, country or area, 1990-2017 (thousands)",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,December 2017 - Copyright © 2017 by United Nations. All rights reserved,,,,,,,,,,,,,,,,,,,,
,,,,"Suggested citation: United Nations, Department of Economic and Social Affairs. Population Division (2017). Trends in International Migrant Stock: The 2017 revision (United Nations database, POP/DB/MIG/Stock/Rev.2017).",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Sort
order","Major area, region, country or area of destination",Notes,Code,Total population of both sexes at mid-year (thousands)g,,,,,,,Total male population at mid-year (thousands),,,,,,,Total female population at mid-year (thousands),,,,,,
24,Mozambique,,508,"13,248","15,759","18,068","20,923","24,221","28,011","29,669","6,328","7,518","8,666","10,106","11,761","13,660","14,490","6,920","8,241","9,401","10,817","12,460","14,350","15,179"
25,Réunion,,638,611,674,737,792,831,863,877,299,329,360,388,402,418,424,312,345,377,403,428,445,452
26,Rwanda,,646,"7,236","5,928","8,026","8,992","10,247","11,630","12,208","3,565","2,876","3,915","4,395","5,017","5,701","5,987","3,671","3,052","4,111","4,597","5,230","5,928","6,222"
27,Seychelles,,690,71,77,81,89,91,94,95,35,38,40,44,47,46,47,35,38,41,44,44,47,48
28,Somalia,,706,"7,397","7,705","9,011","10,410","12,053","13,908","14,743","3,721","3,868","4,516","5,211","6,017","6,929","7,344","3,676","3,837","4,495","5,199","6,036","6,979","7,399"
29,South Sudan,,728,"5,768","5,460","6,701","8,109","10,067","11,882","12,576","2,867","2,716","3,338","4,046","5,032","5,950","6,301","2,901","2,744","3,363","4,063","5,035","5,932","6,275"
30,Uganda,,800,"17,439","20,550","24,039","28,544","33,915","40,145","42,863","8,657","10,170","11,884","14,133","16,841","19,962","21,321","8,781","10,380","12,155","14,411","17,075","20,183","21,542"
31,United Republic of Tanzania,2,834,"25,460","29,961","34,178","39,411","46,099","53,880","57,310","12,594","14,818","16,914","19,441","22,750","26,627","28,342","12,866","15,142","17,264","19,970","23,349","27,253","28,968"
32,Zambia,,894,"8,027","9,137","10,531","12,052","13,850","16,101","17,094","3,978","4,521","5,208","5,967","6,864","7,988","8,482","4,049","4,616","5,323","6,085","6,986","8,112","8,612"
33,Zimbabwe,,716,"10,183","11,320","12,222","12,940","14,086","15,777","16,530","5,054","5,588","6,007","6,315","6,859","7,678","8,051","5,129","5,732","6,215","6,625","7,227","8,099","8,479"
34,Middle Africa,,911,"71,331","84,196","96,099","111,954","131,351","153,743","163,495","35,202","41,630","47,603","55,559","65,314","76,564","81,457","36,129","42,566","48,496","56,395","66,037","77,179","82,038"
