Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1995 [YR1995],2000 [YR2000],2005 [YR2005],2010 [YR2010],2015 [YR2015],2017 [YR2017]
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Central African Republic,CAF,597.8928698,620.9372475,644.4398952,721.2489966,863.3202047,661.8876249,725.9454195
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Chad,TCD,717.7127561,758.932736,787.2251187,1596.835983,1886.251061,2201.182699,1941.175568
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Channel Islands,CHI,..,..,..,..,..,..,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Chile,CHL,4507.114744,7366.063872,9571.978941,12774.73122,18265.34253,22785.81803,24634.97021
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,China,CHN,986.5683762,1869.46632,2933.314817,5092.559837,9333.124237,14450.09499,16806.74186
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Colombia,COL,4869.161847,6155.688861,6585.334138,8248.355342,10680.00301,13827.67279,14552.00856
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Comoros,COM,1034.101551,1048.324974,1173.817526,1310.265382,1383.929694,1504.716581,1552.24585
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,"Congo, Dem. Rep.",COD,896.3545346,577.5162017,454.3115405,528.9616984,646.8557934,865.0994627,887.2128626
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,"Congo, Rep.",COG,3322.420799,3340.817519,3551.092649,4223.074355,5081.432145,5902.429651,5359.074336
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Costa Rica,CRI,5033.099942,6533.191429,7829.812962,9817.001194,12737.02018,15694.6192,17044.18856
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Cote d'Ivoire,CIV,2064.231664,2113.226157,2336.356921,2388.432195,2635.837771,3451.877418,3953.381325
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Croatia,HRV,..,7866.651355,10753.2483,14859.36027,19239.74862,22723.61426,25264.43818
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Cuba,CUB,..,..,..,..,..,..,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Curacao,CUW,..,..,..,..,..,..,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Cyprus,CYP,13178.99547,16885.67593,21709.15509,28169.55688,33263.01583,31523.92688,34503.47033
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Czech Republic,CZE,12666.46265,13751.5599,16188.22719,21956.38386,27694.40198,33468.7265,36327.25234
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Denmark,DNK,18225.01898,22659.48475,28657.54079,34150.1558,43041.54202,48674.84075,51364.1447
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Djibouti,DJI,..,..,..,..,..,..,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Dominica,DMA,4349.836077,5265.555381,6480.082683,7874.891864,9991.976286,10586.77041,10619.95158
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Dominican Republic,DOM,3540.005792,4750.749932,6499.853498,8023.782318,10907.35641,14264.83549,16029.62371
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Ecuador,ECU,4829.416723,5633.172445,5855.634754,7664.289273,9163.159136,11446.36514,11617.42885
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,"Egypt, Arab Rep.",EGY,3819.28637,4587.984869,5856.221721,7124.489862,9658.065215,10750.4563,11582.594
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,El Salvador,SLV,2937.315707,3910.781542,4483.299147,5285.920731,6173.319341,7474.913704,8006.059219
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Equatorial Guinea,GNQ,646.0128053,1250.573679,8554.627584,27933.46545,33041.18835,29341.48771,24816.86684
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Eritrea,ERI,..,1156.421043,1330.93985,1450.333417,1387.714663,..,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Estonia,EST,..,6283.491382,9419.756951,16516.14387,21602.74074,28688.96877,31742.03187
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Eswatini,SWZ,3476.087528,4087.025224,4628.369374,6006.336156,7148.912703,8261.74606,8496.269754
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Ethiopia,ETH,421.3788236,419.1141595,490.0363908,652.1060614,1052.104262,1632.551806,1899.208126
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Faroe Islands,FRO,..,..,..,..,..,..,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Fiji,FJI,3807.735433,4583.860438,5289.881521,6612.747688,7203.365693,9027.542438,9554.602534
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Finland,FIN,18158.93858,19556.56777,26748.63105,31993.40726,38775.17486,42071.19127,44865.84091
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,France,FRA,17566.3039,20744.00698,26090.10166,30498.57929,35935.0262,40564.46071,42850.38628
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,French Polynesia,PYF,..,..,..,..,..,..,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Gabon,GAB,12604.09454,14506.07003,14095.07303,14961.75104,15045.15818,17928.89201,18183.12368
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,"Gambia, The",GMB,973.6391224,1047.731408,1228.245776,1365.193894,1610.981598,1669.74581,1714.5931
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Georgia,GEO,5174.868229,1673.122625,2587.027809,4364.786505,6597.568549,9610.543382,10698.68087
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Germany,DEU,19433.15745,23579.54937,27293.76756,31968.46745,39225.59999,47810.83601,50638.89096
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Ghana,GHA,1240.701882,1506.466231,1790.597787,2260.999579,2997.496491,4181.412842,4641.323379
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Gibraltar,GIB,..,..,..,..,..,..,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Greece,GRC,13297.97768,15407.64136,19515.78932,25577.52408,28175.85552,26697.2485,27601.90492
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Greenland,GRL,..,..,..,..,..,..,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Grenada,GRD,4680.458984,5190.151366,7650.044921,10590.16818,10951.88411,13585.50464,14924.10194
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Guam,GUM,..,..,..,..,..,..,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Guatemala,GTM,3296.802127,4081.59352,4811.825621,5582.008758,6578.247295,7765.757271,8150.262204
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Guinea,GIN,912.58924,956.5525886,1126.034378,1339.178009,1541.714301,1872.367758,2194.530036
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Guinea-Bissau,GNB,1017.245405,1194.016499,1080.622902,1191.608219,1372.035864,1540.315132,1700.219832
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Guyana,GUY,1837.61744,2851.883235,3584.189022,4183.794746,5729.563121,7535.976471,8162.60154
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Haiti,HTI,..,..,1378.692051,1390.757782,1471.648649,1758.33446,1814.943236
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Honduras,HND,2049.955993,2388.322805,2638.272292,3291.9321,3890.851407,4599.650144,4986.23136
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,"Hong Kong SAR, China",HKG,17434.29402,23592.27519,26962.55949,36437.42763,47134.55565,57068.04043,61540.15831
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Hungary,HUN,..,9175.992438,11876.08117,17081.77434,21555.85911,26147.53737,28107.8918
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Iceland,ISL,21637.48664,23561.47891,29453.42665,36965.14032,38535.32706,47499.62538,53152.69889
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,India,IND,1134.222274,1485.02944,1977.645023,2830.405074,4315.596024,6130.067515,7055.55483
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Indonesia,IDN,2989.53415,4383.94503,4601.849337,6076.577888,8262.899269,11040.19721,12283.61543
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,"Iran, Islamic Rep.",IRN,7363.390293,9069.26243,10411.54924,13904.59514,17579.87394,17571.22224,20949.944
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Iraq,IRQ,7446.875137,4783.441854,9651.690102,9701.238097,12460.33797,16050.56191,17196.78104
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Ireland,IRL,13745.44537,18936.25773,30173.20484,40438.10514,43298.69414,68576.74433,75648.23285
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Isle of Man,IMN,..,..,..,..,..,..,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Israel,ISR,15048.46573,19746.4423,24935.34976,24819.9541,28828.32153,35888.87589,38261.67512
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Italy,ITA,18557.10598,22284.67881,27022.86161,30051.77327,35042.19537,36640.11558,39426.9408
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Jamaica,JAM,4709.019168,6159.026516,6286.541527,7488.696798,7834.270978,8620.356524,8995.350211
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Japan,JPN,19436.52122,23403.22482,26838.86865,31663.4531,35000.32121,40717.32438,43278.98933
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Jordan,JOR,4061.075701,5027.300295,5734.639122,7835.0884,9281.147212,9041.817565,9153.35242
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Kazakhstan,KAZ,8434.960627,6039.10301,7887.892984,14259.0187,19690.03391,25049.93554,26409.54118
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Kenya,KEN,1538.59282,1607.22232,1690.012246,1980.260396,2425.92444,3019.951952,3285.910409
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Kiribati,KIR,1267.537114,1378.767071,1590.908787,1759.55826,1696.511974,2094.910004,2174.994973
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,"Korea, Dem. People’s Rep.",PRK,..,..,..,..,..,..,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,"Korea, Rep.",KOR,8276.034959,13295.51969,18083.0841,24196.42385,30376.87182,35203.73414,38335.27048
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Kosovo,XKX,..,..,3664.141594,5963.960455,7745.718188,9748.773845,10754.40217
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Kuwait,KWT,..,59069.64595,55420.72265,83224.57488,73682.86838,72918.00376,71943.00888
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Kyrgyz Republic,KGZ,2245.792715,1236.819912,1644.311975,2110.377936,2733.729337,3447.60825,3725.541023
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Lao PDR,LAO,1103.958956,1475.413015,1969.701704,2773.571076,4133.441868,6128.358238,7023.371679
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Latvia,LVA,..,5507.921283,8018.050373,13847.63412,17575.7297,24510.16206,27598.32909
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Lebanon,LBN,5078.706758,9076.835045,9933.079261,10924.51068,16118.96329,14218.82972,14675.64435
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Lesotho,LSO,891.5517315,1187.24195,1411.816863,1744.531577,2317.828928,2883.811087,3130.151508
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Liberia,LBR,565.6639428,180.4061666,664.7766667,532.3540947,685.5006861,836.181489,826.4516826
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Libya,LBY,..,..,17375.64648,23189.82724,29030.84338,15810.25223,19631.29944
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Liechtenstein,LIE,..,..,..,..,..,..,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Lithuania,LTU,..,5923.6037,8456.32163,14526.13395,20110.33897,28783.66677,32092.49739
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Luxembourg,LUX,29680.28752,39632.95704,55340.09732,68220.06448,85696.99591,102517.1382,103744.7598
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,"Macao SAR, China",MAC,26089.45655,34914.53009,33469.13162,57162.53524,96198.202,106959.8763,115123.0782
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,"Macedonia, FYR",MKD,5256.844668,4703.80663,6126.103283,7759.728958,11284.80918,13766.31883,15231.3326
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Madagascar,MDG,1068.491219,1020.603083,1144.578853,1237.201112,1357.654563,1466.497463,1555.044799
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Malawi,MWI,480.9991622,598.4269158,686.3825764,748.0958764,1012.067458,1159.319842,1202.197126
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Malaysia,MYS,6819.885822,10645.65457,12927.84405,16540.90162,20680.29685,26623.32837,29431.46945
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Maldives,MDV,..,5671.603128,7742.577293,8257.553604,11762.64972,14593.9729,16669.40493
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Mali,MLI,822.002533,955.0949561,1159.551873,1567.708574,1834.117059,2043.718105,2211.415206
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Malta,MLT,9343.353424,12915.27558,19422.71414,22232.57537,27836.06147,35787.87696,39534.92022
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Marshall Islands,MHL,1879.459551,2560.128961,2293.737344,2881.109185,3408.776762,3903.127907,4192.929073
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Mauritania,MRT,1814.084811,2086.572357,2180.644244,2658.436435,3249.876929,3835.230926,3949.677854
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Mauritius,MUS,4774.348669,6448.993211,8780.062692,11078.02723,15616.00684,20087.71538,22278.48548
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Mexico,MEX,6037.003546,8390.342787,10799.05835,12369.75975,14858.53865,17239.32066,18258.09621
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,"Micronesia, Fed. Sts.",FSM,1758.708959,2286.77923,2472.299737,2898.409605,3230.949855,3483.455937,3622.331967
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Moldova,MDA,..,1899.622233,1839.712736,2945.080151,3831.749187,5054.682473,5697.834883
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Monaco,MCO,..,..,..,..,..,..,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Mongolia,MNG,3310.861431,3094.184139,3689.703496,5384.323071,7552.665586,12152.17138,12999.5288
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Montenegro,MNE,..,..,6001.709187,8313.692214,13648.23275,16272.19565,18765.1058
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Morocco,MAR,2528.458556,2854.5881,3553.994247,4773.984071,6312.915427,7770.245991,8217.456796
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Mozambique,MOZ,244.6592081,272.2719658,445.1502637,661.0487226,899.1987281,1190.755747,1247.275563
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Myanmar,MMR,480.2066369,675.8951196,1035.524118,2025.540178,3645.936435,5384.869389,6138.761026
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Namibia,NAM,3696.56091,4298.183267,4839.87524,6464.093344,8289.696027,10622.15643,10475.51927
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Nauru,NRU,..,..,..,..,6459.080878,13066.20362,14157.53321
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Nepal,NPL,774.2732467,985.5234149,1220.424872,1499.722461,1945.806681,2464.389033,2681.843838
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Netherlands,NLD,18910.91252,23109.29325,31591.92861,37265.34509,44542.83655,49527.66966,52503.26827
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,New Caledonia,NCL,..,..,..,..,..,..,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,New Zealand,NZL,14874.73123,17904.35837,21509.41191,25677.1039,31265.73845,37864.99954,41109.00768
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Nicaragua,NIC,1941.273584,2149.458712,2739.388794,3358.645014,3947.216766,5278.44924,5842.171881
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Niger,NER,578.1712435,572.0576476,597.1897004,679.5562182,797.7699585,967.0846194,1016.613626
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Nigeria,NGA,1965.827996,2005.079214,2257.525221,3694.485774,5045.978167,6038.462315,5860.84706
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Northern Mariana Islands,MNP,..,..,..,..,..,..,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Norway,NOR,18442.12536,24320.86866,36950.49466,47772.43008,58022.03349,61722.23991,61414.28137
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Oman,OMN,22648.88883,27936.61014,34848.67962,36914.22638,44418.77038,42459.75058,41675.34375
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Pakistan,PAK,1974.517294,2448.166983,2770.166499,3573.525102,4196.955809,5000.283839,5527.377674
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Palau,PLW,..,..,9821.543196,12636.80942,11606.93399,14938.64319,14536.04091
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Panama,PAN,5076.963602,6749.091373,8421.509944,10629.15229,15312.44725,22134.9748,24445.97147
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Papua New Guinea,PNG,1534.084289,2302.883837,2175.685453,2400.157835,3127.019115,4072.818793,4197.311358
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Paraguay,PRY,3901.5717,4840.228681,4822.978789,5448.980231,7142.057039,9199.669384,9690.774655
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Peru,PER,3433.763634,4539.560345,5202.233095,6762.772656,9755.149148,12533.49118,13434.1256
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Philippines,PHL,2591.926586,2886.995938,3348.152451,4255.159861,5483.620944,7320.498539,8342.804479
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Poland,POL,6178.849301,7664.428781,10651.21145,13895.92354,21068.85123,26594.75786,29026.16642
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Portugal,PRT,11769.02249,14384.59255,18883.91146,22739.58966,27334.8116,29532.38116,31672.71309
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Puerto Rico,PRI,14366.15945,18976.46391,24575.57805,31497.83921,33237.81691,37581.03004,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Qatar,QAT,..,..,85860.61144,97767.19034,122609.4108,127516.9086,128378.3008
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Romania,ROU,5262.053542,5453.11972,5877.075724,9723.548285,17027.14177,21566.07305,25840.83637
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Russian Federation,RUS,8012.802317,5611.658378,6825.411391,11822.3709,20497.93408,24737.68944,25532.99535
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Rwanda,RWA,563.9440134,495.4533585,628.4938115,929.4457449,1337.558637,1843.326591,2035.654068
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Samoa,WSM,2358.562479,2687.256759,3428.776564,4750.376751,5290.660663,5919.359821,6610.795239
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,San Marino,SMR,..,..,59984.93674,74436.85094,72368.20363,60028.92435,62425.63293
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Sao Tome and Principe,STP,..,..,..,1983.3395,2588.079743,3138.69963,3351.436191
