,Country Name,1990 [YR1990],1995 [YR1995],2000 [YR2000],2005 [YR2005],2010 [YR2010],2015 [YR2015],2017 [YR2017]
59,El Salvador,2937.315707,3910.781542,4483.299147,5285.920731,6173.319341,7474.913704,8006.059219
60,Equatorial Guinea,646.0128053,1250.573679,8554.627584,27933.46545,33041.18835,29341.48771,24816.86684
61,Eritrea,..,1156.421043,1330.93985,1450.333417,1387.714663,..,..
62,Estonia,..,6283.491382,9419.756951,16516.14387,21602.74074,28688.96877,31742.03187
63,Eswatini,3476.087528,4087.025224,4628.369374,6006.336156,7148.912703,8261.74606,8496.269754
64,Ethiopia,421.3788236,419.1141595,490.0363908,652.1060614,1052.104262,1632.551806,1899.208126
65,Faroe Islands,..,..,..,..,..,..,..
66,Fiji,3807.735433,4583.860438,5289.881521,6612.747688,7203.365693,9027.542438,9554.602534
67,Finland,18158.93858,19556.56777,26748.63105,31993.40726,38775.17486,42071.19127,44865.84091
68,France,17566.3039,20744.00698,26090.10166,30498.57929,35935.0262,40564.46071,42850.38628
69,French Polynesia,..,..,..,..,..,..,..
70,Gabon,12604.09454,14506.07003,14095.07303,14961.75104,15045.15818,17928.89201,18183.12368
71,"Gambia, The",973.6391224,1047.731408,1228.245776,1365.193894,1610.981598,1669.74581,1714.5931
72,Georgia,5174.868229,1673.122625,2587.027809,4364.786505,6597.568549,9610.543382,10698.68087
73,Germany,19433.15745,23579.54937,27293.76756,31968.46745,39225.59999,47810.83601,50638.89096
74,Ghana,1240.701882,1506.466231,1790.597787,2260.999579,2997.496491,4181.412842,4641.323379
75,Gibraltar,..,..,..,..,..,..,..
76,Greece,13297.97768,15407.64136,19515.78932,25577.52408,28175.85552,26697.2485,27601.90492
77,Greenland,..,..,..,..,..,..,..
78,Grenada,4680.458984,5190.151366,7650.044921,10590.16818,10951.88411,13585.50464,14924.10194
79,Guam,..,..,..,..,..,..,..
80,Guatemala,3296.802127,4081.59352,4811.825621,5582.008758,6578.247295,7765.757271,8150.262204
81,Guinea,912.58924,956.5525886,1126.034378,1339.178009,1541.714301,1872.367758,2194.530036
82,Guinea-Bissau,1017.245405,1194.016499,1080.622902,1191.608219,1372.035864,1540.315132,1700.219832
83,Guyana,1837.61744,2851.883235,3584.189022,4183.794746,5729.563121,7535.976471,8162.60154
84,Haiti,..,..,1378.692051,1390.757782,1471.648649,1758.33446,1814.943236
85,Honduras,2049.955993,2388.322805,2638.272292,3291.9321,3890.851407,4599.650144,4986.23136
86,"Hong Kong SAR, China",17434.29402,23592.27519,26962.55949,36437.42763,47134.55565,57068.04043,61540.15831
87,Hungary,..,9175.992438,11876.08117,17081.77434,21555.85911,26147.53737,28107.8918
88,Iceland,21637.48664,23561.47891,29453.42665,36965.14032,38535.32706,47499.62538,53152.69889
89,India,1134.222274,1485.02944,1977.645023,2830.405074,4315.596024,6130.067515,7055.55483
90,Indonesia,2989.53415,4383.94503,4601.849337,6076.577888,8262.899269,11040.19721,12283.61543
91,"Iran, Islamic Rep.",7363.390293,9069.26243,10411.54924,13904.59514,17579.87394,17571.22224,20949.944
92,Iraq,7446.875137,4783.441854,9651.690102,9701.238097,12460.33797,16050.56191,17196.78104
93,Ireland,13745.44537,18936.25773,30173.20484,40438.10514,43298.69414,68576.74433,75648.23285
94,Isle of Man,..,..,..,..,..,..,..
95,Israel,15048.46573,19746.4423,24935.34976,24819.9541,28828.32153,35888.87589,38261.67512
96,Italy,18557.10598,22284.67881,27022.86161,30051.77327,35042.19537,36640.11558,39426.9408
97,Jamaica,4709.019168,6159.026516,6286.541527,7488.696798,7834.270978,8620.356524,8995.350211
98,Japan,19436.52122,23403.22482,26838.86865,31663.4531,35000.32121,40717.32438,43278.98933
99,Jordan,4061.075701,5027.300295,5734.639122,7835.0884,9281.147212,9041.817565,9153.35242
100,Kazakhstan,8434.960627,6039.10301,7887.892984,14259.0187,19690.03391,25049.93554,26409.54118
101,Kenya,1538.59282,1607.22232,1690.012246,1980.260396,2425.92444,3019.951952,3285.910409
102,Kiribati,1267.537114,1378.767071,1590.908787,1759.55826,1696.511974,2094.910004,2174.994973
103,"Korea, Dem. People’s Rep.",..,..,..,..,..,..,..
104,"Korea, Rep.",8276.034959,13295.51969,18083.0841,24196.42385,30376.87182,35203.73414,38335.27048
105,Kosovo,..,..,3664.141594,5963.960455,7745.718188,9748.773845,10754.40217
106,Kuwait,..,59069.64595,55420.72265,83224.57488,73682.86838,72918.00376,71943.00888
107,Kyrgyz Republic,2245.792715,1236.819912,1644.311975,2110.377936,2733.729337,3447.60825,3725.541023
108,Lao PDR,1103.958956,1475.413015,1969.701704,2773.571076,4133.441868,6128.358238,7023.371679
109,Latvia,..,5507.921283,8018.050373,13847.63412,17575.7297,24510.16206,27598.32909
110,Lebanon,5078.706758,9076.835045,9933.079261,10924.51068,16118.96329,14218.82972,14675.64435
111,Lesotho,891.5517315,1187.24195,1411.816863,1744.531577,2317.828928,2883.811087,3130.151508
112,Liberia,565.6639428,180.4061666,664.7766667,532.3540947,685.5006861,836.181489,826.4516826
113,Libya,..,..,17375.64648,23189.82724,29030.84338,15810.25223,19631.29944
114,Liechtenstein,..,..,..,..,..,..,..
115,Lithuania,..,5923.6037,8456.32163,14526.13395,20110.33897,28783.66677,32092.49739
116,Luxembourg,29680.28752,39632.95704,55340.09732,68220.06448,85696.99591,102517.1382,103744.7598
117,"Macao SAR, China",26089.45655,34914.53009,33469.13162,57162.53524,96198.202,106959.8763,115123.0782
118,"Macedonia, FYR",5256.844668,4703.80663,6126.103283,7759.728958,11284.80918,13766.31883,15231.3326
119,Madagascar,1068.491219,1020.603083,1144.578853,1237.201112,1357.654563,1466.497463,1555.044799
120,Malawi,480.9991622,598.4269158,686.3825764,748.0958764,1012.067458,1159.319842,1202.197126
121,Malaysia,6819.885822,10645.65457,12927.84405,16540.90162,20680.29685,26623.32837,29431.46945
122,Maldives,..,5671.603128,7742.577293,8257.553604,11762.64972,14593.9729,16669.40493
123,Mali,822.002533,955.0949561,1159.551873,1567.708574,1834.117059,2043.718105,2211.415206
124,Malta,9343.353424,12915.27558,19422.71414,22232.57537,27836.06147,35787.87696,39534.92022
125,Marshall Islands,1879.459551,2560.128961,2293.737344,2881.109185,3408.776762,3903.127907,4192.929073
126,Mauritania,1814.084811,2086.572357,2180.644244,2658.436435,3249.876929,3835.230926,3949.677854
127,Mauritius,4774.348669,6448.993211,8780.062692,11078.02723,15616.00684,20087.71538,22278.48548
128,Mexico,6037.003546,8390.342787,10799.05835,12369.75975,14858.53865,17239.32066,18258.09621
